horizon_days,canonical_empirical_P,diagnostic_model_state_hold_forward_P
10,0.30443999772493424,0.0014221413380847148
20,0.5120397516041799,0.009688373506316461
40,0.7813610064063784,0.2862915007508051
60,0.9237284191912141,0.9997619714261573
