surface,auc,mace,resolution,std,vsi,gate_pass
empirical (w=0.0),0.4895572263993317,0.18526280309990492,0.03716,0.0635,0.943,False
blend w=0.5,0.7017543859649122,0.03556755582642802,0.02556,0.1402,0.724,True
blend w=0.6,0.7012531328320801,0.054197853683814134,0.03085,0.1645,0.619,True
blend w=0.7,0.7037593984962405,0.0823950923575523,0.035,0.1896,0.495,True
blend w=0.8,0.7077694235588972,0.10657424371822506,0.0425,0.215,0.35,False
blend w=0.9,0.7099415204678362,0.11553356704809298,0.03738,0.2407,0.185,False
raw classifier (w=1.0),0.7101086048454468,0.1276387617687997,0.04055,0.2667,0.0,False
isotonic(raw),0.6789473684210526,0.10295001113383333,0.05096,0.2218,0.308,False
isotonic(blend 0.5),0.6446950710108604,0.09623336716993496,0.02641,0.2216,0.309,True
