horizon_days,empirical_probability,classifier_probability,blend_probability,blend_weight_classifier,gate_passed
10,0.26198121164873045,0.08481490342706403,0.21768963459331384,0.25,True
20,0.41778777278421786,0.19518525801077546,0.30648651539749666,0.5,True
40,0.6031148299265005,0.4920626696041024,0.5475887497653014,0.5,True
60,0.6874468686672716,0.7039510597938738,0.6956989642305726,0.5,True
