horizon_days,n,base_rate,empirical_auc,logistic_auc,gbm_auc,auc_delta_log_minus_emp,empirical_mace,logistic_mace,logistic_beats_empirical_auc,promote_recommended
10,4765,0.2972,0.8162760027869016,0.8018718801294931,0.8416228682817875,-0.014404122657408536,0.03639081626845684,0.046492915901747076,False,False
20,4765,0.4472,0.7791442947101525,0.7845769878572342,0.788198991137445,0.005432693147081724,0.04812396810629951,0.058558542307709835,True,True
40,4765,0.6204,0.7624476287933358,0.7751297639003899,0.7735331012955071,0.012682135107054071,0.07737397130730406,0.06692259350601237,True,True
60,4765,0.7207,0.7378456124659621,0.7619526658548208,0.8142259291558712,0.024107053388858657,0.10948167770665726,0.07201723205521239,True,True
