horizon_days,n_tickers,base_rate,txpurged_clf_auc,tickerloo_clf_auc,generalization_gap_auc,weighting_effect_auc,tickerloo_empirical_auc,tickerloo_clf_mace,tickerloo_empirical_mace,blend_w_classifier,blend_auc,blend_mace
10,9,0.2972,0.8110364338456711,0.8154940845821251,-0.004457650736453989,0.001316903772607847,0.8169761021504016,0.10257904571179055,0.047421952487131956,0.25,0.834817881381237,0.049517053570567196
20,9,0.4472,0.7901283329894919,0.8114628863360303,-0.021334553346538332,0.010259120970509183,0.7854659869653846,0.09443836900539875,0.04086951168559472,0.5,0.8194179140268381,0.04318548619818298
40,9,0.6204,0.795661782801524,0.7997297380186723,-0.004067955217148311,0.011135122762372385,0.7656406734931567,0.07752360264504556,0.045415959637232425,0.5,0.8064975079496518,0.040887511148777575
60,9,0.7207,0.7786273036637644,0.7731077434432796,0.0055195602204848315,0.026056008614959714,0.7432616864019898,0.08480766060744455,0.07981496062851633,0.5,0.7864867916057526,0.06841226749748594
