surface,auc,brier,mace,ece,reliability_slope,lift_over_base_brier
empirical_baseline_RS1,0.4895572263993317,0.2320095658874514,0.18526280309990492,0.16199445078821595,0.02420360009180143,-0.004
classifier_episode_purged,0.6466165413533834,0.24304340738835176,0.13427131807916098,0.1529388948475847,0.41683251383510195,-0.015
classifier_ticker_loo,0.7101086048454468,0.2147939968482347,0.1276387617687997,0.1305170534564755,0.6152549524240696,0.0133
