ticker,group,round,transition,from_attempt,to_attempt,episode_key,transition_key,y_success,drawdown_abs_low_pct,below_ma250_abs_low_pct,from_touch_day_overshoot,from_fixed_5d_overshoot,drawdown_atr_multiple,gap_days,trading_days_between,drawdown_bucket,below_ma250_bucket,attempt_bucket
MSFT,mega_cap_software_like,13,1_to_2,1,2,MSFT|13,MSFT|13|1_to_2|2025-02-20,0,2.753588347181568,4.268468965428518,-0.9957305484395552,-0.8879869919311112,1.1201148926855746,14,9,000_003,000_005,1
MSFT,mega_cap_software_like,13,2_to_3,2,3,MSFT|13,MSFT|13|2_to_3|2025-05-01,1,17.143671361676482,17.595333817943846,-0.5763530359010449,-0.5763530359010449,12.573417360939688,70,49,012_020,015_020,2
MSFT,mega_cap_software_like,14,1_to_2,1,2,MSFT|14,MSFT|14|1_to_2|2026-06-01,0,23.362336175866105,23.42457148986353,1.2290798012291049,3.8397330805557184,10.630548062501186,129,88,020_plus,020_plus,1
AAPL,mega_cap_software_like,1,1_to_2,1,2,AAPL|1,AAPL|1|1_to_2|2013-08-14,0,31.531951036675675,30.144237203754955,2.3720905152300853,5.804401060367237,9.482277773328745,268,184,020_plus,020_plus,1
AAPL,mega_cap_software_like,1,2_to_3,2,3,AAPL|1,AAPL|1|2_to_3|2013-09-23,1,10.28688161335144,7.986000579014596,0.8439897481855141,3.0408094752100823,5.242757812068119,40,27,008_012,005_010,2
AAPL,mega_cap_software_like,2,1_to_2,1,2,AAPL|2,AAPL|2|1_to_2|2015-09-14,0,20.104213477616074,21.01686951859577,0.252422533448593,1.2007526825955628,7.031298279121304,32,21,020_plus,020_plus,1
AAPL,mega_cap_software_like,2,2_to_3,2,3,AAPL|2,AAPL|2|2_to_3|2015-09-25,0,2.983273762904504,4.719558233842602,-0.2350058708620039,-0.2350058708620039,0.9131637900077928,11,9,000_003,000_005,2
AAPL,mega_cap_software_like,2,3_to_4,3,4,AAPL|2,AAPL|2|3_to_4|2015-10-23,0,6.451067269727206,8.995920472247942,-0.8776409895659754,-0.8776409895659754,2.854789554712819,28,20,005_008,005_010,3+
AAPL,mega_cap_software_like,2,4_to_5,4,5,AAPL|2,AAPL|2|4_to_5|2015-11-19,0,6.386373831124271,6.644744314269079,0.3944067342278368,1.460460091702198,3.468026645080198,27,19,005_008,005_010,3+
AAPL,mega_cap_software_like,2,5_to_6,5,6,AAPL|2,AAPL|2|5_to_6|2015-11-30,0,1.7006207612559998,1.8272111210436703,0.6868064399198737,0.8207380505366624,0.7993014243789102,11,6,000_003,000_005,3+
AAPL,mega_cap_software_like,2,6_to_7,6,7,AAPL|2,AAPL|2|6_to_7|2015-12-07,0,3.448872042295237,4.04742062546789,0.3402084740612432,0.3402084740612432,1.7500030970605112,7,5,003_005,000_005,3+
AAPL,mega_cap_software_like,2,7_to_8,7,8,AAPL|2,AAPL|2|7_to_8|2016-04-13,0,21.888746638820898,21.969408644748132,0.6412266982948722,0.6412266982948722,11.768166142880052,128,87,020_plus,020_plus,3+
AAPL,mega_cap_software_like,2,8_to_9,8,9,AAPL|2,AAPL|2|8_to_9|2016-07-29,1,19.65838727981345,18.959630755224637,-0.8055023579296994,-0.7249456598323545,11.518639511306525,107,75,012_020,015_020,3+
AAPL,mega_cap_software_like,6,1_to_2,1,2,AAPL|6,AAPL|6|1_to_2|2022-09-21,0,9.214959504261078,6.132596837701554,3.995791015582073,3.995791015582073,3.79004077215814,9,7,008_012,005_010,1
AAPL,mega_cap_software_like,6,2_to_3,2,3,AAPL|6,AAPL|6|2_to_3|2022-10-28,0,12.587833004005333,15.157513812592816,0.3482932290043372,0.3482932290043372,4.066961473802618,37,27,012_020,015_020,2
AAPL,mega_cap_software_like,6,3_to_4,3,4,AAPL|6,AAPL|6|3_to_4|2023-02-03,0,20.13871946485433,19.402182766021447,-0.5002387146754272,-0.5002387146754272,6.018319303897337,98,66,020_plus,015_020,3+
AAPL,mega_cap_software_like,6,4_to_5,4,5,AAPL|6,AAPL|6|4_to_5|2023-02-28,1,5.538824296525934,3.00502162986408,3.959080801612713,3.959080801612713,2.090103645624517,25,16,005_008,000_005,3+
AAPL,mega_cap_software_like,8,1_to_2,1,2,AAPL|8,AAPL|8|1_to_2|2024-05-03,1,8.165896777795446,9.289107766911364,-0.8598982148897427,-0.8598982148897427,3.961596275882832,44,31,008_012,005_010,1
AAPL,mega_cap_software_like,9,1_to_2,1,2,AAPL|9,AAPL|9|1_to_2|2025-08-08,1,22.47674325012763,22.97802024412493,0.5083466628002631,3.052145161013864,7.118982921750348,140,96,020_plus,020_plus,1
GOOGL,mega_cap_software_like,1,1_to_2,1,2,GOOGL|1,GOOGL|1|1_to_2|2010-09-27,0,15.120972146260424,17.206888196420135,1.4884113584580303,1.4884113584580303,4.104362262895397,137,94,012_020,015_020,1
