scope,n,completed_n,mean_gap_days,median_gap_days,p25_gap_days,p75_gap_days,p90_gap_days,median_drawdown_abs_low_pct,success_rate,posterior_success_rate,wilson_low,wilson_high,sample_quality
ALL / target transition,14,14,41.07142857142857,33.5,8.75,61.75,100.10000000000005,5.266458089912179,0.42857142857142855,0.4375,0.21380509930400526,0.6740973309713064,medium
peer group: mega_cap_software,9,9,38.111111111111114,31.0,7.0,69.0,78.60000000000001,4.798779724267776,0.4444444444444444,0.45454545454545453,0.188775429471914,0.7333526542559703,low
ticker history: MSFT,9,9,38.111111111111114,31.0,7.0,69.0,78.60000000000001,4.798779724267776,0.4444444444444444,0.45454545454545453,0.188775429471914,0.7333526542559703,low
